komentar,Label
pondok pesantren dkt rmh orang tua sayakbrnya orangnya kabur ketangkap mmg disitu bnyk siswi smasmk sekolah ngaji tinggal diasrama utk menghemat biaya kost,positif
kabur kejogjaistrinya teman main kecilitu orang mantunya pesantren,positif
jeneng pondok pesantrene bro,positif
rubat balong elfirdaus tambaksari wetan pasar blundeng sipelaku mantu pondok pendiri pondok pendirinya mertuanya dah meninggal,netral
seharus nya santri mencontoh sifat sifat baikan ajaran ajaran agama pondok pesantren manfaat napsu bejat nya o allah agama salah semoga polisi ketat patroli pondok an,negatif
liat pondok pesantren oknum ustadz berslaman ma santriwatinya sampe sujud merangkak rangka dihadapan gurunya,positif
gak wahabi denger pondok bilang wahabi melecehkan santri ya,positif
berita kumplit nama pondoknya woiii,netral
pondok rubat balong tbk sari psr blndeng,netral
bilang pesantren penjahat sembuyi,negatif
pesantren pencabulan sanksi dibubarkan krna mempermalukan islam,negatif
orang tua mending mikirdankutipan kalo anaknya mondok putri asusila pesantren muncul kelompok bullying,positif
pesantren lageee klu bully ya sexual,positif
alhamdullilahsmuga anak perempuannya sobek semuaternodai semuaoleh oknum oknum ustadsdankyai,netral
diserang habisan habib pdhal buanyak sprti berasal pondok milik kyai tp oknum hbib langsung up habisan bnyk jg habib lg cari salahnya,negatif
terbukti ucapan dr mahatir muhamad hancurnya islam ustadz masuk & kutipandarurat ustadzdankutipan belajar langsung pondok sumbernya al quran secure,positif
pesantren namanya yakut suruh nutup sj gedung dpr,positif
pengin anak pondok pesantren,positif
putri mondok pesantren campur baur eh apes nya pengasuhnya laki islamaja melarang menabrak aturan islam parah sih,positif
hukum pondok santri cowok jdi samsak tinju seniornya yg santri cewek jdi makanan ustad cabul fakta rumah deket pondok sya lihat santrinya udh babu pgi berdiri baris nunduk menyaksikan ustad sma keluarganya pajeromakan nampan dikeroyok orang klo jalan pke dengkul nyium tangan ustadnya islam & amp nabi sahabatnya mengajarkan gak heran pondok modal bismillah dibalut ayat surga dapet perawan,negatif
ngeri yah masukin anak pesantren niat nya menjadikan anak solehah hancur dah ngeri ya masukin pesantren pilih pilih pesantren to kaya ya lieur euy,positif
bnyk bnget sich pesantren sesat,negatif
santri wanita ngajar ya wanita laki ngajar laki solusinya bedakan laki dn perempuan,positif
ponpes salafipd santri wanita diajar wanita santri laki diajar laki spt anak skolh salafi skian santri wanita ngajar wanita smua hany pngajar laki itupun dibatasi tirai dn alhamdulillah faktanya pondok salafi sbgian menyebutnya wahabi alhamdulillah pencabulan dn pembunuhan alhamdulillah,negatif
pondok pesantren,positif
pesantren pesantren,positif
keliargaku tenang damaian bangetcuman marah tpi nuntut pdhal kakanya pengin banhet naikan pengadilanpengin tuntut kyainya krena adeku dilecehin lulus sekolah dasarpondok pesantren purbalingga sampe lupa nama pondoknya krena udh muak bangettpi orang tuaku jalur hukumplhan sueuh tanggung dinikahinpikiran orang tua kolot menyebalkandhal besarnya ngabisin uang jt kyainya dijeblosin kepenjaralewat bantuan penhacara temenku,negatif
tambaksari deket pasar blundeng deket smaa rumahkuu dlu ad d pesantren ituu laki smaa laki pelakunya kyai meninggal,positif
takut kalo anak sekolah dipesantrenteryata menyeramkan,negatif
mbk klu ponpes salafipd umumny santri wanita diajar wanita santri laki diajar laki spt ditmpt anak skian santi wanita smua pngajarny wanita hany pngajar laki itupun dibatasi tirai dn faktanya alhamdulillah diponpes salafi pencabulan dn pembunuhan alhamdulillah,negatif
manusia dibekali hasrat nafsu sahwat iya pesantren pengurusnya manusia tau barang indah ngiler coba ditata ulang makan fegetarian biar nafsu hewan nya pengurus berkurang,negatif
peringatan orang tua memiliki anak putri mondok lembaga appun n dmna spy percaya banget sj hrs dikunjungi n bgmna keadaannya kejdian terjdi,netral
pesantren tujuannya ngintip bungga lg berkembang orang tua hati menasehati anak laki perempuan terhindar pondok kekerasan sexsual,positif
bismillah pesantren mondokustadnya gurunya perempuan ya gurunya perempuan klau santri laki ya gurunya lakibenar gila berahlaq gurunya hukum betat siksaa smpsi mati,negatif
gay lesbong parah kaum luth solusi santri guru jenis kelamin,negatif
ya ora kya gue saudara saudaraoknum kyai bejat nahan syahwatnya ngecap kyai bejad begitujuga niat pondok orang tua nitipin anak dipesantren sampean cap capek mendidik sampean nyekolahin anak sdsmpsma berbicara kesampean dasar orang tua ndidik anakapa sampean terimaapa sampean ndidik memasukkan anak sekolahan bijaklah berfikir menyikapi benci kelakuan kyai bejad mendukung kebiri tembak mati sekaliantapi kyai lurus saudara e guru cabul guru sampean memilih jeruk tukang buah jeruk busuk tumpukan jerukmasa iya jeruk baguspun sampean bilang jeruknya busuk didasarin jeruk mohon bijak menilai apapun dlm kiyaiguru manusia minim pengetahuan wawasan mohon maaf kekhifan,negatif
pesantren tempatnya pelecehan seksual,negatif
gue males cium tangan kyai,netral
berhentilah menitipkan anak pesantren mending sekolah negeri aman,positif
kedungreja belah ya anak ku pondok penisian,netral
pengasuh pondok nge tren peran tambahan penjahat k lamin,negatif
pondok pencabulan treen,negatif
pondok ngendi sihdesa,netral
kedungreja cilacap lik pondok desaku,netral
heran orang tua percaya pondok pesantren kasusnya berulang ulang sekolakan sekolah kristen katolik aman rano karno sekolah pondok sdsma sekolah kristen,positif
berita heran bertahun orang tua anaknya masuk pesantren sy pribadi miris banyaknya orang tua percaya anak masuk,positif
bocil bolhkn santrix udh th,netral
lu anak mondok kalo orang sangean pondok pesantren,positif
anak dipondok cantik,netral
saran sih orang tuanya ngk masukin anaknya pesantren sekolah cari sekolah bermutu kaya sekolah katholik kristen tinggal rumah orang tuanya,positif
sdh diingetin ortu mempercayai anak manis nya dititip pesantren tvoon berita gini nya tayang,positif
tutup pondok pesantren nya,positif
pemerintah mengawasi asrama pendidikan negeri swasta,netral
pondok diawasi brow,netral
pondok pesantren diawasi anti islam,positif
pondok pesantren skrng bnyak abalparah,negatif
kekerasan seksual pondok pesantren miris,negatif
guru pengasuh pesantren mngkin latihan meng oh yes oh yes bidadari syuurgaa,positif
pesantren santriwati ajang uji coba latihan kehidupan jannah bidadari berdada montok peraawan wallahu & lam,positif
surga ane kayaknya salah sasaran ente oh iya ane coba bawa kemari dalilnya insyaallah ane bahan ya uztaduztad pesantren mesum yaa,negatif
mjmka dak bubar lihat mustamar marzuki stress dipecat jamaahnya habis lari mukhammadiah nudgn pkb geger kyai kampungan vs habib yaman rebutan kkehormatan wahabi berperan tni polri nahdyin bnyak wahabi iki piye to kii santay pakde marzuki awas i de marzuki jauhkan pondok sungai air jauhkan pondok tambang simpan senjata api ataw tajam emangnye knpe tkt blia bunuh krna taw kluargenye macm mnekrna dajjal klaw bunuh persta ria aqu berhasil kontra marah marah hak okeee,positif
orang tua goblok anak dimasukin pesantren utk dalami agama belajar tu ilmu pengetahuan ato ilmu technology agama tolollllollol,negatif
pondok pesantren gila,negatif
pesantren ngk aman krisis moral dimana dimana,positif
efektif tau utk bahan pertimbangan angkatan mondok situ pampang gambar mengakibatkan efek psikis jera mgkin pelakupihak pondok speak up ngga kepastian penderitaan taruma nya,positif
pondok pesantren aswaja nu,positif
santri santriwati pondok pesantren hormat gurunya budak rajanya diperkosa diam,positif
iya bnr kbnykn santri wati nurut banget pembimbing pengasuh nya bnyk jodohkan santri wati iya² bnr² memilih pondok bener salah asal²an,negatif
mirisnya indonesiaku pondok pesantrenpun aman kaum hawa,positif
miris bangga kalo masukin anak pondok sekolah,netral
kaum hawa kaum adam nyaman santri disodmi,positif
sesuai visual ane lihat pondok yesus kristus tuhan allah bapa mahakuasa visual ane lihat ledakan angkasa contohnya darii gugus hercules muncul petir aneh petir turun ane lihat insiden masjid insiden sekolah islam ane temui sosok mitologi dewa mesir leher kepala anjing kucing leher badan manusia ane ente menghadap ane senyum senyum nyebelin ane takutkan mengerikan dareah mesir afrika timur insiden sosok bercadar burka jilbab ledakan kebakaran lokasi medan pertempuran contohnya pabrik kimia petasan kembang api gas melon pink septictank jalur pipa minyak gas pom mini spbu depot minyak gas kilang minyak gas cafetaria apartemen mall kantor rs food court gerbong truk tangki helikopter pesawat pergi kapal penumpang tanker barang kargo lng gorong gorong tanah kontrakan insiden kejadian pengasuh pemilik pondok pesantren qori syekh haji hajjah santri santriwati imam solat masjid imam katib guru ngaji marbot penjaga masjid pengurus masjid jamaah masjid habib habibah ustad ustazah kyai ahli agama insiden sosok bercadar burka jilbab insiden wahana permainan contoh boatswing kincir bianglala kereta gondola gantung rollercoaster lainlain mall pasar malam kereta gondola gantung mini bombomcar mini jetcoaster mini kincir bianglala mini dkk insiden mobil travel insiden mobil lcgc mpv suv contoh landcruiser pajero patrol wrangler mg bmw santafe lainlain insiden wisata outdoor contoh jatuh jurang kawah ketimpa batu longsor tersapu tsunami airbah banjir tenggelam kesambar petir hanyut longsor likuifaksi tanah geser sinkhole lainlain insiden helikopter insiden pesawat pergi ekor t siluman fighter jet penumpang orgil paksa buka pintu penumpang penumpang babakbelur turbulence parah ancam bom bajak sabot tembak terbakar meledak keracunan kesurupan pressure kabin anjlok avionic instrument error body terbelah sirip ekor sayap patah patah kebocoran tangki adu jotos pembunuhan penemuan mayat nyebur air jatuh tegak darat nyelonong jurang terkoyak tersedot engine jet terpancung baling baling kaca retak copot pecah ban pecah macet copot tabrak garbarata terminal tabrak kendaraan mobil dinas tabrak binatang hewan buas tabrak tabrak bukit gunung tabrak tower sutet tabrak balon penumpang layangan raksasa tabrak binatang hewan buas tabrak drone drone penumpang tabrak kendaraan mobil dinas tabrak wingsuit bungee jumping tabrak parasut terjun jetson tabrak flyboard jet jetsuit tabrak glider paralayang tabrak paramotor paraglider tabrak trike gantole insiden kejadian perwira pqngkat melati pejabat jenderal bintang insiden mall contoh mobil terjun pondok parkiran mobil pameran seruduk mall penumpang terjun bebas pondok lantai ketimpa baliho reklame videotrone kaca mall pecah tersapu tsunami airbah si terjang angin pipa bocor kejepit tertimpa lift ambles likuifaksi insiden kapal insiden kereta contoh krl commuterline mrt lrt kereta bandara kereta kota jarak contoh argo senja utama jokotingkir insiden bullet train contoh whoosh insiden pelabuhan dermaga insiden terowongan pertambangan jembatan penemuan mayat korban mutilasi muncul angin mengerikan kecepatan jam muncul tsunami ketinggian meteran ketinggian gedung tertinggi dunia kesetrum kesambar petir lilit gigit terkam hewan buas insiden mobil mewah sportcar supercar hypercar insiden moge konvoi moge contoh goldwing ducati bmw triumph hayabusha dkk insiden angkasa contoh kebocoran pressure anjlok astronot korslet docking undocking pintu docking macet spacewalk diterjang asteroid mwgeor ukuran micro bola biliard berasap kebakaran ledakan adu vanteng modul angkasa insiden balapsepeda ledakan kebakaran gardu travo kabel tiang listrik sutet insiden konser insiden gor insiden sirkuit pembalap fenomena aneh aurora warna hijau ane lihat warna putih dominan matahari terjang asteroid meteor ukuran ukuran blackhole pondok bumi teropong bumi terlempar langit angkasa bumi sedot blackhole fenomena angkasa contoh panet bercincin muncul semburan porong sidoarjo muncul gelembung lumpur ukuran meteran bleduk kuwu muncul retakan lebar nya jengkal jari tangan manusia virus mengganas visual ane lihat pakai pakaian hazmat apd putih biru hijau keracunan kimia radiasi radioaktif lainlain senjata kimia biologis visual ane lihat yabg pakai topeng respirator mask kejadian visual ane lihat bergelimpangan ane malas ketik ane harap semoga biar korban kalo eksistensi superioritas supremasi yesus kristus tuhan allah bapa mahakuasa nyata sejati jaman now visual minggu september jam,negatif
bubarkan pondoknya penjarakan pengasuhnya simpel gitu repotmerka membangun pondok mengajarkan ilmu santri proyek sumbangan,negatif
ilmu kamasantri ehh ilmu kamasutra,netral
kamasantri terbitkan bukunya,netral
hati orang tua memilih pondok pesantren putrinya srkarang ustadz ahli agama yabg tahan syahwat bathin syahwat duniawi mudah menjual agamanya,positif
bkin malu islam heran msh ad orang tua skolahkn anknya pondok pesantren bkin pondok pesantren modus cari dwit sm ngesex gratis k santriwati wjb d sidak ponpes d ri udh trjd dn trjd trlus ttp gada solusi bgus katena ilmu agm udh dokrin santri biar nurut prcuma ibadah bc kitab hpl kitab otak rusak kcnduan bokep tmpilan luarnya alim ngacengan pdhl sntriwati berhijab prcy lg sm pondok pesantren wlw pondok pesantren bonafide anti skolahin anak d pondok pesantren skolah agm bgus skolah d muhammdyah otak mesum smua pondok pesantren n ustadnya kbnykn nonton bokep keyakinan setebel tembok cina bs kalah sm lihat santriwati plg lihat cw sexi bgus orang cetek ilmu agmnya bs ngaji bs kuat jaga nafsu sahwat n anti nonton bokep,negatif
kyai panutan santri mlekeco,netral
kemenag mui perhatian khusus tolong ponpes tinjau akreditasinya sertifikasi ustadznya anak titipkan sekolah jadikan budak seks kasusnya buanyaaakkkkkkk,negatif
buka pesantren ilmu cukupnyantri tamatitulah akibatnya buka pesantren propertestmana muiapa proper test pendiri pesantren,positif
membangun nama ponpres biar pengasuh guru pengajar kesempatan pikiran otak sempit mencabuli santriwatinya alasan bla bla,negatif
pesantren abalabal udah dibubarkan dibiarkan ya berulang,negatif
pondok pesantren kupercaya,positif
pesantren afghanistan paman,positif
pesantrendankutipan bermasalah bubarkan pondok anak didiknya menginap riskan pelecehan seksual santriwati santri jg sodomi,negatif
pesantren pengasuhnya tertangkap aturan ketat pemilik pondok bak raja apapun sah,positif
tutup pesantren nya,negatif
astaghfirullah bobroook duani pesantren sumpah,positif
ad berbicara pesantren bla bla bla pesantren bla bla bla,positif
jngn pria satupun santriwati,netral
dirumah ajh mondokkan,netral
astaghfirullah semoga perhatian pondok mengawasi kejadiannya kebenaran sanksinya penanganan tetep semangat generasi adik adik santri semangat belajar,netral
semoga kyai uang dianggap selesai kekeluargaan,netral
lulusan pesantren anak kuliah,positif
brita percabulan pesantren kebang gaan islam kerwang suku sundah,negatif
kemarin murid kh idrus ramli sodomi lagilagi pesantren aswajanu cabul wkwkwkwk,negatif
aswaja sufinuya pesantren habibantara doang bisanya,positif
yg salah orang tua sekolah negri pesantren sarang praktek gesek gesek,negatif
pondok pesantren perempuan alangkah baiknya staff perempuanpak kyai kalo mengajar bertatap muka langsung pake layar besaratau santriwati memakai masker cadar mengajar bertatap mukatidak salaman kyai,positif
jgn pesantren kiyainya ngajarkan perselangkangan pesantren pencabulan,negatif
santriwati sharusnya mondok pondok putri ustazah bu nyai muhrim diasuh ustadz kyai,netral
sidak santri wati,netral
kalo memilih pesantren dah kualitas ya sanadnya,positif
ade aq mondok dstu,netral
tercium ayo kawan remaja pesantren takut melapor tindakan pencabulan lakukan pengasuh pondok takut melapor,negatif
silih berganti pencabulan pondok kacau kacau,negatif
pesantren salafimuhammadiyyahal irysadpersis rekomendasi orang tua menyekolahkan anaknya dipasantren dri buru pindahkan secepatnya sblm pnyesalan pkoknya smpai anak mondok pesantren aswajasufinu pesantren habib,positif
segitu santriwatinya dah bolong,netral
kasih tau pelakunya biar cuman pesantren pesantren cap buruk biar suka migrasi yaman pribumi,positif
gimana cabul santriwati gurunya lakilaki yah sj lihat kucing karung penasaran,negatif
pondok ni semoga pondok wahabi difitnah nya pondok ngaswaja ngnu kebanyakan suka cabul cabul,negatif
lulus pondok pulang kampung seragam kaositem item masjid gerombolan knalpot brong rokok an nyetil kayak ngalim miris ngelihatnya rupane mesum mesum hadir majlus nyolawat bawa bendera hadi seker mania wkwk bahaya ta,negatif
pesantren memperkuat iman si amin,positif
pondok yogyakarta mualimin mualimat muhammadiyah mengelola mualimat ustadzah mualimin ustadz asrama terpisah laki wanita,netral
pondok pesantren nya pondok golongan organisasi pondok pesantren nahdlatul ulama nu,positif
pemimpin ponpesnya butuh latihan selagi bumi krn kalo udh masuk sorga kewalahan lg melayani nafsu bidadari perawan ortu santriwati nya ngerti sih,netral
% pondoknya wahabi,positif
ponpres nu gokil broo gak otak nya,netral
as china rusia lomba rudal icbm konoha rudal santriwati mulu,negatif
ratarata korban pencabulan pesantren pondok santriwati takut bicara santriwati tahan uji lapor ustadnya berhenti santriwati no terungkap korban pencabulan pesantren jauuuuh terungkap media,negatif
mending lu pengurus pesantren cabuli santrinya gue,negatif
pesantren ngajarin akhlak terpuruk anak disana ditempat habis pondok pesantren pda jlas jdi narkoboy terkekang dn prnh dibully pondok pesantren,positif
pesantren bae,positif
pengurus sohibnya idrus ramli yg menyodomi santri,netral
hati orang tua menaruh putra putrinya pondok pesantren kejadian berulang bulancek berita digitalnya,positif
inidapat berimbas masyarakat takut pesantrenkan anak²nya,negatif
kloo dlm hiduppkku munavic ituu ibunyaaa suamikuu kliataaan nyaa kya orang benerrr sukaa shareee cramahh ustadz k grupp wadzsap k fesz bucx tock toxk hatinyaaa jahaaadd sukaa irii dengkii hassadd k akku pdhl idupkuu sengsaraa,netral
bubarkan pondok itukar udah maksiat,negatif
ga tahan uji nutup pondoksebelumnya jatim smpe didemo ibu² sampe tahunhahaha emang kalo penyumbang suara aman,positif
bahaya oknum merusak citra pesantren,negatif
udah bandung ustad gila heri wirawan merkosa belasan santrinya korbanya melahirkan pondok,negatif
pesantrennya pesantren pondok aswajanusufipara habib insha allah aman cari pesantren muhammadiyyahalirsyadpersissalafiinsha allah amanah,positif
dalih orang tuanya cari ilmu bagus d pondok dalih nya pk transfer ilmu setrum nya hrus hidup,netral
alhamdulillah pondok salafy & kutipanmerekadankutipan fitnah dg istilah wahabi,positif
islah bahrawi ust idrus ramlibkerap kali fitnah orang bermanhan salaf wahabi haram memasukan pesantren salafi eh langsung allah balas kontan pesantren cabulin santri pemahaman dg islah bahrawi ust idrus ramli,negatif
pimpinan pondok pesantren karawang dihukum gantung pembelajaran,negatif
najis dah nafsuan sm cewe emg bininya puas smpai liar banget makan eeh beritanya enak suruh dah istrinya ceriakan harta buang emh kasihan sm anak lakinya si pesantren m kasih sm istri,positif
pondok anti wahabi koar anti wahabi,positif
ente akal pikiran bedain pengikut salafiyah ahlussunah pesantren namanya salafiyah ajarannya sesuai qolallah wa qola rasul itunamanya pesantren salafiyah indonesia bego² rakyat pribumi nya ngaku² salafi mlh menyimpang pondok ajaran sunnah rasulullah shalallahu alaihi wassalam,positif
pesantren ngeri pencabulan pencabulan org ngerti agama,negatif
hati menitipkan anakny dipondokbanyak oknum kyai ustadz cabul,negatif
pesantren membolehkan bid & ah hasanah salaman mahrom ikhtilattabarukan tawasulan sholawatan nauzubillah min dzalik,positif
anak buah si idrus romli kaum nabi luth santri sodomi na & uzubillahi minzalik muncul muncul sprti tutup ponpes nganu ngaswaja tasawuf extrem byk pelecehan sex santri guru bejat otak mesum,negatif
ber lebel kyai aman pokok nya dasar nya kyai ust manusia dewa hahaha kyai ust habib manusia pendosa kaya oh ya pesantren modusnya mending,positif
ustadz kyai cabulin nya nu hadeuhh ngeresahin udh tau slh mlh fitnah wahabi² arti pondok wahabi ngejawab tuduhan fitnah gada usul nya,negatif
mantap guru pesantren nya,positif
tdk heran lg sudh tonton pleceha pesantren pengawasan,positif
pengasuh pesantren jatim parah,positif
pondok pesantren pencabulan kemarin pondok pesantren diagam sumbar santri laki laki diperkosai persatu olrh ustad ustad merekahari santri perempuan persatu diperkosai dikarawangmasih keponpes belajar,negatif
sangaaaat apakarena pondokan salafy campur baur laki pondokan khusus laki perempuan pondokan khusus perempuan,netral
nama pondoknya nama pelakunya spy korban,netral
udah sakit pesantren skrg,positif
pejahat kelamin berkedok ustad bikin malu bubarin ajah pesantrenya korban,negatif
memalukanpesantren jdi pemuas sex,negatif
ngerakeun karawang anyirpasantren ieu,netral
hati hati pondok pesantren sponsor yahudi gencar mengobok obok citra islam indonesia menipu umat wahabi,negatif
pesantren cabul pengasuh nya langsung penjara pelaku siksa rame rame,negatif
peristiwa memalukan hayoo polisi instansi terkait lakukan inspeksi mendadak pesantren sampe kejadian ponpes memcegah sedini,negatif
enaknya dimasa si pelaku tutup pondok,netral
opopengasuh pondok khontoldankutipan le alia alat vitalnya ngaaaceeng wae alias djengaaaat ae mencabuli santriwati & ne ngeri,negatif
tutup pesantren pimpinan kayak nabi doyan mis v ha ha ha ha ha ha,negatif
pondok pesantren sj,positif
mesti berita pelakunya namanya mohon cantumkan nama digeneralisir oknum masyarakat latar mengedukasi masyarakat hati kyai gadungan mondok,positif
pesantren nu fakta brow,positif
kyai kyai idrus ramli membolehkan mondok dipesantrennya wahabi sutad sutad wahabi cabul,negatif
kyai lu yh suka memecah belah umat islam main nuduh²,positif
santri you tubenderek ngaos gussemoga bermanfaat,positif
yg d samping kyai ali ahli agama al azhar ya,netral
mudahdankutipanan stoknya kyai kayak gus baha,netral
insya allah anak sya pesantren pondok gus baha,positif
gus baha salah kyai patut panutan muda mudah tarik politik terbukti gusbaha salah capres kyai tawadu patut contoh ikuti warga nu mbok yao kyai sepuh tarik politik praktis kyai sepuh tuwakan contoh umat urusi urusan duniawi urusan politik praktis tau politik praktis jujur kebanyakan mengkhalalkan menang terbukti,negatif
panji gumilang jilid bermunculan panggilan ustad kh meng halal babi meragukan isro mi & raj nabi muhammad mengadu domba kyai habaib menbidahkandan cinta rosul sholawat,negatif
sehat poro kyai,positif
kyai pencerah umat,positif
masya allah mendengar ceramah gus baha bersyukur muslim kyai nu matur suwun ya allah gusti,netral
saudara berhijrah bbrp artis dikumpulkan mendengar ceramah gu baha mengerti pemikiran luwes berislam bener pondok belajar kali dg ustadz lainlain sehat umur kagem gus baha,positif
gus baha emg berpredikat kyai milenial smua kajiannya mudah diterima karakter beliau rendah hati sederhana smoga beliau sll sehat salam santun cah jepara,positif
smg gus baha & sehatpanjang umurshgg ilmunya bs pd umat islamsaya santri youtube nya gus bahaa &,positif
gus baha kyai cerdas,positif
literasi membaca orang indonesia rendah gus mudahan santri meniru gus baha literasi membacanya,negatif
gus baha kematian santri gontor,netral
kyai nu ceramah adem ayem gc menyinggung perasaan orang,netral
kenal sayang oepatah tau gus baha benakku tau beliau namanya gus pake sorban jubah gamis lainya tau mssya allah beliu orangnya sederhana layaknya santri lainya seeing ngaji sosmed ilmunya ya alloh salam sejahtera hormatku gus,positif
gus ngaji bagus bagus kl gus baha nolak penghapusan madrasah,negatif
gus baha kyai ceramahnya menyejukkan hati mendengarnya,netral
semoga anak mondok bumi sholawat,netral
mengusai materi boos apik tenan iki kyai cerdas alim,positif
alhamdulillahselalu mndpt pngtahuan barusemoga sehat gus yai kyai hadirsukses chanelnyaaamiinyra,positif
pesantren ahli agama jawa zikir hu jawa allah al quran,positif
standar kiyai gus spy kualitas terjaga jaman santri mengejar kualitas,positif
santrinya gus baha thnsaya kawan sgt tertib pintar bijaksanamirip gus baha beda ilmunya,netral
beda ceramah kyai nu sm fpi,netral
kyai mantap banger ya gus baha,netral
lha yo orang pintar orang ngerti gus baha inibener ngk niatan liajlinnasbener contoh kelompok kyai kadrunpakaian nya sederhana ngk neko,netral
alhamdulillah nunut ngaos kyai,netral
suka banget ngikuti ceramah gus baha sayang bahasa arab arab anak pondok mohon diterjemahkan gus,netral
kyai menginspirasi membumi menentramkansangat dibutuhkan umat semoga beliau kesehatan usia allah,positif
ambil video kang channel youtube pribadi santri abah gus ali pondok kota demak keponakan ustadz arafat mohon ijin,netral
dawuh² kyai nu menejukan kalbu,netral
nek ngaji koyo ngene betah koyo ustadz seng arogan nganggep dee seng pleng bner,netral
gus dlm tatanan jawa darah biru putranya kyai pondok pesantren kalo bapaknya sd meninggal mewarisi pondok pesantren berhak menyandang gelar kyai ttpi selagi bapaknya hidup disebutdankutipangusdankutipan kalo ustadz mengajar madrasah sekolah islam hafal hadits,positif
ustadzdankutipan wahabi hatinya keras pelajari kitabdankutipan karañgan ahli agama jdi refrensinyarujukannya ya itudankutipan jtidak jauhdankutipan pondokabdul wahabal albani ibnu taimiyahkalau moderen bin baz dn ahli agama wahabi arab saudi itudankutipan yh pelajari belajar kitabdankutipan,positif
ijin ree aploud ustadz syukron,netral
ngaji ya kayak giniadem ayemdapat menamvah keyakinandi hati sejuk nafsu menghujat bahasanyaini menandakan d beliau mondok mendengarkan kyai nya klu d ajar klu ngaji isinya menghujat fitnah bahasanyaitu pertanda d mondok jellaaass tiduuuurrrhhhhh,netral
nderek ngaos pk kyai gus baha bpk kyaidankutipandan gus & kutipansemuanya ijen shere min,netral
kyaii nu biasamudahhan umur,netral
masyaallah kyai baha salam sejahtera hormat kyai semoga dilindungi allah swt,positif
hidayah nya bos,netral
gus baha kakak kelasnya pa dawam kulo adik kelase pa dawam gus baha niku guru kulogurune guru kulo mondok mbah maemun رحمه الله panjenengan tiyang pundi nggih,netral
kyai asli jowotak tinggalkan budaya jawainilah sosok pemersatuselalu menghargai sesamaasslamualaikumsalam sejahtera kyai,positif
kopiahsongkok ustadz miring,netral
ilmu kealiman beliau oerlu kagumi personal beliau perku perhatikan beliau pengajian pembeda kehidupan keimanan kealiman keilmuan beliau terbatas beliau beliau membaca kalimat kalimat kekagumaan beliau kaalimat mencoba mengamalkan mentransferkan pengetahuan didengar kebahagiaan gus baha beliau menyebar identitas keimanan ciri pondok beragama islam komentar ayo jadikan pengajiaan gus baha sarana menyebarkan islam fitranya wassalamualaikum santri kalimantan,negatif
makna hafalan menguasai ilmu bahasanya udah diluar kepala arti hafalan orang hafal arti memaknai orang memaknai otomatis tau arti bnyk hafal alquran tau makna terkandung alquran pondok pesantren yg mengajarkan sekedar membaca mengartikan ngaji tpq beli alquran terjemahan salah mohon maaf pengetahuanku,negatif
hahahaha gus nur gus nur semoga allah swt melindungi jalan ridhoinya aamiin tobat ya gus nur liat kyaidankutipan nu adem dlm bermauidhoh khazanah,positif
santri mondar mandir mulu,netral
allah subhanallah ilmu gus baha & ae dahsyatnya opo mane ilmu gurune almagfurlah simbah kyai maimoen zubairsubhanallah,netral
ceramah ilmu semoga kyai nuustadz nu sehat & amp allah swt keberkahan dlm hidupamiin,positif
gw tau gus baha pondok ceramah ustadz adi hidayat,netral
santri gayeng,netral
matur suwun kyai,netral
gus baha menanggapi kematian santri gontor,netral
gus baha penerus kyai mbah maemun,netral
ngaji panggung kaya ngajar kampus pesantren,positif
penerus mbah moenpantes ae ceramah mirif mbah moen santrine mbah moen jebule,netral
ngeri sindirannya kyai sahal mahfud ceritakan gus baha & kutipanada ngaji kyai gondrong muridnya suruh gondrong ngerjakan sholat ngaji kali mencari & kutipannabi khidirdankutipan nemu nu & kutipan paham sindir,netral
langsung pondok pesantren narukan mbak insya allah kh baha selengkaplengkapnya,positif
gus baha kiay liem nama asli mbah muslim rifa & i imam puro kalaten alm al fatihah salam santri ndalem,netral
ajaran pondok lirboyo dilarang pakai kopyah putih gusdimana mbah maimun mondok disana,negatif
dpondok pesantren mondok api tegal rejo magelangjuga sntri dlarang pake kopiah putihharus itemkalau terketahui putih suruh dlepas,positif
lirboyo pondok tremas pacitan pondok tebu ireng pake peci hitam musalsal pondok,netral
klu kyai nu turun gunung gus baha scr keilmuan nasab jls tahan uji mghina nu aswaja gus baha pd dinu dipondok pesantren ustadz gus baha ribuan sdg msh belajar lulus membuka pesantren,negatif
lulus smp ustadz masuk pesantren ustadz,positif
bingung cari pesantrensetara smp anak basiknya tahfiz masuk pesantren ade hidayat,negatif
mustahil allah pondok berd & oa semoga allah mudahkan lancarkan allah berkahi pesantren uah semoga perlahan kuota bertambah allah mudahkan anak salah satunya pondok anak beruntung menuntut ilmu pesantren mira aamiin yaa robbal & aalamiin,negatif
masyaallah semoga anak ku berusia menempuh pendidikan pribadi sepertu ustadz hidayat aamiin aamiin aamiin,netral
bismillah anak masuk pesantren uah,positif
bismillah berniat mengantar anak lakilaki murid ustadz hidayat insyaallah pas smp anak kla sd ustadz menyekolahkan anak sd negri pesantren disana,positif
assalamu & alaikum ustadz anak mondok pesantren ustadz orang ayah anak² meninggal anak cewek th & amp cowok th mohon jawabannya ustadz,positif
tingkat sma ya ustadz adi hidayat,netral
assalamualaikum ustad anak sd kls pindah pondok ustad mohon info nya ustad trima kasih mohon info nya ustad,netral
